Epoch, training loss, validation loss, validation accuracy, ,,
478,0.196101,0.310568,0.915000, ,,
479,0.195822,0.310478,0.915000, ,,
480,0.195511,0.310332,0.916000, ,,
481,0.195226,0.310288,0.916000, ,,
482,0.194950,0.310194,0.917000, ,,
483,0.194620,0.310143,0.916000, ,,
484,0.194327,0.310046,0.916000, ,,
485,0.194048,0.309933,0.917000, ,,
486,0.193792,0.309853,0.916000, ,,
487,0.193475,0.309953,0.916000, ,,
488,0.193181,0.309853,0.916000, ,,
489,0.192855,0.309991,0.916000, ,,
490,0.192621,0.309808,0.916000, ,,
491,0.192306,0.309483,0.917000, ,,
492,0.192019,0.309418,0.917000, ,,
493,0.191688,0.309709,0.916000, ,,
494,0.191437,0.309293,0.916000, ,,
495,0.191120,0.309302,0.916000, ,,
496,0.190861,0.309169,0.916000, ,,
497,0.190563,0.309057,0.916000, ,,
498,0.190269,0.308756,0.917000, ,,
499,0.189919,0.309080,0.916000, ,,
500,0.189674,0.309066,0.916000, ,,
501,0.189423,0.309055,0.916000, ,,
502,0.189098,0.309035,0.916000, ,,
503,0.188829,0.309134,0.916000, ,,
504,0.188612,0.308587,0.916000, ,,
505,0.188240,0.308583,0.916000, ,,
506,0.188018,0.308747,0.916000, ,,
507,0.187670,0.308497,0.916000, ,,
508,0.187393,0.308523,0.916000, ,,
509,0.187118,0.308569,0.916000, ,,
510,0.186823,0.308429,0.916000, ,,
511,0.186579,0.308343,0.916000, ,,
512,0.186264,0.308444,0.916000, ,,
513,0.186019,0.308314,0.916000, ,,
514,0.185748,0.308271,0.917000, ,,
515,0.185438,0.308165,0.917000, ,,
516,0.185186,0.307845,0.916000, ,,
517,0.184913,0.308114,0.916000, ,,
518,0.184609,0.308097,0.916000, ,,
519,0.184404,0.307924,0.916000, ,,
520,0.184147,0.307820,0.916000, ,,
521,0.183734,0.307694,0.916000, ,,
522,0.183481,0.307633,0.916000, ,,
523,0.183223,0.307699,0.916000, ,,
524,0.182991,0.307834,0.916000, ,,
525,0.182669,0.307578,0.916000, ,,
526,0.182363,0.307418,0.916000, ,,
527,0.182139,0.307432,0.916000, ,,
528,0.181864,0.307387,0.916000, ,,
529,0.181610,0.307445,0.916000, ,,
530,0.181357,0.307394,0.916000, ,,
531,0.181078,0.307356,0.916000, ,,
532,0.180805,0.307159,0.916000, ,,
533,0.180528,0.307217,0.916000, ,,
